IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name
102.135.174.111,2025-02-10,12:48:16 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
105.160.123.15,2025-02-11,09:24:34 UTC,necessary+analytics+targeting,mobile,en,Chrome,iOS
197.232.46.71,2025-02-11,10:39:40 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.160.121.96,2025-02-11,12:24:17 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.232.46.71,2025-02-11,13:48:35 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
196.96.194.75,2025-02-11,14:14:18 UTC,necessary+analytics+targeting,mobile,en,Chrome,iOS
197.248.186.234,2025-02-11,14:50:58 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
196.200.37.66,2025-02-11,21:18:44 UTC,necessary,mobile,en,Safari,iOS
196.200.37.66,2025-02-11,21:19:21 UTC,necessary,mobile,en,Safari,iOS
41.84.128.186,2025-02-13,09:53:44 UTC,necessary,desktop,en,Edge,Windows
102.213.179.83,2025-02-14,11:52:21 UTC,necessary,mobile,en,Safari,iOS
197.237.210.208,2025-02-14,12:25:59 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
103.84.112.208,2025-02-21,02:55:24 UTC,necessary,desktop,en,Chrome,Windows
102.216.69.0,2025-02-22,09:23:50 UTC,necessary,mobile,en,Safari,iOS
188.120.98.80,2025-02-25,09:07:07 UTC,necessary+analytics+targeting,desktop,en,Chrome,Linux
197.232.46.71,2025-03-05,12:14:20 UTC,necessary,mobile,en,Safari,iOS
104.28.85.156,2025-03-07,08:08:36 UTC,necessary,mobile,en,Safari,iOS
146.75.203.0,2025-03-07,09:13:10 UTC,necessary,mobile,en,Safari,iOS
86.157.76.66,2025-03-24,14:09:45 UTC,necessary+analytics+targeting,desktop,en,Safari,OS X
159.86.134.5,2025-03-25,13:50:18 UTC,necessary+analytics+targeting,desktop,en,Safari,OS X
202.164.140.57,2025-03-25,20:12:47 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
172.56.194.79,2025-03-25,20:57:04 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
201.75.188.129,2025-03-25,21:05:09 UTC,necessary,desktop,pt,Edge,Windows
181.67.60.187,2025-03-25,21:11:54 UTC,necessary+analytics+targeting,desktop,es,Chrome,Windows
118.200.33.137,2025-03-26,02:42:09 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
104.28.97.25,2025-03-26,05:43:24 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.160.96.42,2025-03-26,07:06:40 UTC,necessary,mobile,en,Samsung Internet,Android
41.139.128.197,2025-03-26,09:11:37 UTC,necessary,desktop,en,Safari,OS X
113.211.214.148,2025-03-26,15:35:25 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
93.136.200.66,2025-03-26,15:48:59 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
212.95.8.156,2025-03-26,20:18:08 UTC,necessary+analytics+targeting,mobile,de,Chrome,iOS
62.73.72.128,2025-03-26,21:15:18 UTC,necessary+analytics+targeting,desktop,it,Safari,OS X
104.28.62.28,2025-03-27,08:22:38 UTC,necessary,mobile,tr,Safari,iOS
197.211.14.174,2025-03-27,19:36:28 UTC,necessary+analytics+targeting,mobile,en,Firefox Mobile,Android
41.90.178.251,2025-03-28,09:52:23 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
197.232.18.233,2025-03-28,10:57:05 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
105.161.37.5,2025-03-28,11:34:21 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
102.209.109.70,2025-03-28,14:47:35 UTC,necessary,desktop,en,Chrome,Windows
196.96.76.122,2025-03-28,15:17:09 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
41.90.216.70,2025-03-28,15:33:09 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
35.146.169.144,2025-03-28,21:39:23 UTC,necessary+analytics+targeting,desktop,en,Edge,Windows
105.108.232.30,2025-03-29,08:23:34 UTC,necessary+analytics+targeting,mobile,fr,Chrome,Android
197.232.98.209,2025-03-29,08:40:28 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.237.172.13,2025-03-29,08:48:27 UTC,necessary,mobile,en,Chrome,Android
41.90.172.52,2025-03-29,09:17:44 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
196.201.218.12,2025-03-29,09:37:55 UTC,necessary,mobile,en,Chrome,Android
105.161.34.69,2025-03-29,10:10:52 UTC,necessary+analytics+targeting,mobile,en,Firefox Mobile,Android
105.161.130.154,2025-03-29,10:26:04 UTC,necessary,mobile,en,Instagram,iOS
196.216.91.146,2025-03-29,11:33:18 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
197.232.46.71,2025-03-29,12:55:43 UTC,necessary,mobile,en,Firefox Mobile,Android
41.90.15.81,2025-03-29,13:27:21 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
197.237.30.90,2025-03-29,13:35:45 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
41.90.172.14,2025-03-29,13:50:57 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
105.160.2.122,2025-03-29,18:05:45 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
41.212.47.240,2025-03-29,18:59:30 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-03-29,19:06:14 UTC,necessary,desktop,en,Chrome,Windows
41.212.47.240,2025-03-29,19:15:42 UTC,necessary,desktop,en,Chrome,Windows
41.212.47.240,2025-03-29,19:22:03 UTC,necessary,desktop,en,Chrome,Windows
105.161.11.53,2025-03-29,19:23:28 UTC,necessary,mobile,en,Safari,iOS
41.212.47.240,2025-03-29,19:40:29 UTC,necessary,desktop,en,Chrome,Windows
109.138.211.115,2025-03-30,00:23:17 UTC,necessary+analytics+targeting,desktop,fr,Chrome,OS X
105.160.55.43,2025-03-30,09:38:28 UTC,necessary,mobile,en,Instagram,iOS
41.81.161.47,2025-03-30,10:11:11 UTC,necessary,mobile,en,Instagram,iOS
105.40.57.163,2025-03-30,10:33:08 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
179.208.202.97,2025-03-30,11:29:19 UTC,necessary+analytics+targeting,mobile,pt,Chrome,Android
105.163.156.206,2025-03-30,12:31:23 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
196.216.88.58,2025-03-30,14:42:11 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
105.163.0.44,2025-03-30,18:51:25 UTC,necessary,mobile,en,Instagram,Android
84.221.76.46,2025-03-30,21:12:35 UTC,necessary,desktop,it,Safari,OS X
66.42.26.38,2025-03-31,04:02:36 UTC,necessary,mobile,en,Chrome,iOS
175.157.117.28,2025-03-31,05:37:59 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
196.96.234.104,2025-03-31,08:29:07 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
41.90.66.164,2025-03-31,09:13:00 UTC,necessary,mobile,en,Instagram,Android
41.90.177.162,2025-03-31,09:19:45 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
105.163.156.185,2025-03-31,10:44:01 UTC,necessary,desktop,en,Edge,Windows
105.160.86.238,2025-03-31,15:44:31 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
105.163.2.40,2025-03-31,15:54:12 UTC,necessary,mobile,en,Instagram,iOS
102.219.208.106,2025-03-31,21:37:19 UTC,necessary,desktop,en,Chrome,Windows
102.0.4.82,2025-03-31,22:43:03 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
106.219.166.130,2025-04-01,09:39:31 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.90.186.124,2025-04-01,15:58:30 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
41.90.172.65,2025-04-02,11:36:12 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
102.210.40.90,2025-04-03,10:34:46 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
124.187.217.168,2025-04-03,12:11:24 UTC,necessary+analytics+targeting,desktop,en,Edge,Windows
175.157.92.138,2025-04-03,15:21:06 UTC,necessary,desktop,en,Chrome,OS X
175.157.92.138,2025-04-03,15:23:01 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
41.81.188.166,2025-04-03,16:25:39 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
102.209.90.12,2025-04-04,05:58:25 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
41.139.231.43,2025-04-04,11:58:39 UTC,necessary,mobile,en,Samsung Internet,Android
112.209.215.147,2025-04-05,05:53:24 UTC,necessary,desktop,en,Safari,OS X
197.248.186.234,2025-04-05,09:10:53 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
109.62.101.96,2025-04-06,01:15:00 UTC,necessary+analytics+targeting,desktop,fr,Safari,OS X
105.163.158.146,2025-04-06,09:00:43 UTC,necessary,mobile,en,Instagram,iOS
41.90.172.118,2025-04-06,09:02:06 UTC,necessary,mobile,en,Instagram,Android
105.161.12.80,2025-04-06,13:55:08 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
196.96.186.116,2025-04-06,14:37:18 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
102.210.40.90,2025-04-06,16:43:52 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
76.175.97.172,2025-04-07,00:52:54 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
41.90.172.123,2025-04-07,09:43:58 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
154.159.252.58,2025-04-07,12:47:54 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
105.161.8.148,2025-04-07,14:27:33 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
104.28.152.41,2025-04-07,18:48:24 UTC,necessary,desktop,pt,Chrome,Windows
104.28.152.41,2025-04-07,21:45:52 UTC,necessary,desktop,pt,Edge,Windows
102.215.34.68,2025-04-08,09:45:58 UTC,necessary,mobile,en,Instagram,iOS
41.90.176.27,2025-04-08,10:47:26 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
102.210.40.90,2025-04-08,15:18:33 UTC,necessary,mobile,de,Safari,iOS
154.159.252.207,2025-04-09,12:07:22 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
76.175.97.172,2025-04-09,21:39:09 UTC,necessary,mobile,en,Safari,iOS
45.132.225.36,2025-04-10,13:36:05 UTC,necessary+analytics+targeting,mobile,en,Samsung Internet,Android
154.159.252.119,2025-04-10,15:06:51 UTC,necessary,mobile,en,Chrome,Android
49.37.10.192,2025-04-10,17:18:48 UTC,necessary,desktop,en,Chrome,Windows
41.212.47.240,2025-04-11,14:25:31 UTC,necessary,desktop,en,Chrome,Windows
41.212.47.240,2025-04-11,14:32:28 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-04-11,14:32:36 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
105.160.121.35,2025-04-12,11:01:33 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
105.161.31.16,2025-04-12,12:10:24 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
41.90.216.91,2025-04-12,15:54:55 UTC,necessary,mobile,en,Chrome,Android
41.90.172.133,2025-04-13,11:25:01 UTC,necessary,mobile,en,Chrome,Android
105.160.63.21,2025-04-13,12:39:30 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
102.210.245.222,2025-04-13,12:52:24 UTC,necessary,mobile,en,Chrome,iOS
41.212.47.240,2025-04-13,17:05:49 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
78.22.143.213,2025-04-14,10:01:50 UTC,necessary+analytics+targeting,desktop,nl,Edge,Linux
196.201.231.254,2025-04-14,12:24:46 UTC,necessary,desktop,en,Chrome,Windows
41.90.216.204,2025-04-14,12:54:38 UTC,necessary+analytics+targeting,desktop,en,Chrome,Linux
196.96.187.143,2025-04-14,14:27:59 UTC,necessary,mobile,en,Instagram,iOS
102.135.170.141,2025-04-14,18:51:59 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
105.161.1.112,2025-04-15,08:13:59 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
154.159.252.57,2025-04-15,09:25:39 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
196.201.218.63,2025-04-15,09:27:41 UTC,necessary+analytics+targeting,mobile,en,Instagram,Android
41.121.4.207,2025-04-17,11:40:02 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
102.85.133.119,2025-04-20,13:32:52 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
8.217.76.130,2025-04-21,03:25:22 UTC,necessary,desktop,zh,Chrome,Windows
79.100.234.12,2025-04-22,15:46:29 UTC,necessary+analytics+targeting,desktop,en,Edge,Windows
130.204.48.88,2025-04-22,15:52:40 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
46.154.188.15,2025-05-06,06:18:01 UTC,necessary+analytics+targeting,mobile,tr,Safari,iOS
95.90.237.61,2025-05-07,10:35:59 UTC,necessary+analytics+targeting,mobile,en,Firefox Mobile,Android
77.209.10.153,2025-05-19,13:29:35 UTC,necessary+analytics+targeting,mobile,es,Chrome,Android
41.212.47.240,2025-05-19,20:57:01 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-05-25,20:02:20 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-05-26,13:56:30 UTC,necessary+analytics+targeting,desktop,en,Firefox,Windows
90.53.136.162,2025-05-26,16:53:44 UTC,necessary+analytics+targeting,desktop,fr,Chrome,Windows
90.53.136.162,2025-05-26,20:24:07 UTC,necessary+analytics+targeting,desktop,fr,Chrome,Windows
41.212.47.240,2025-05-26,22:23:54 UTC,necessary,desktop,en,Chrome,Windows
86.127.225.193,2025-05-27,08:17:09 UTC,necessary+analytics+targeting,desktop,en,Firefox,OS X
102.217.4.111,2025-06-06,20:19:21 UTC,necessary,mobile,en,Chrome,Android
41.90.172.84,2025-06-09,04:29:06 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
90.53.136.162,2025-06-09,16:18:07 UTC,necessary+analytics+targeting,desktop,fr,Chrome,Windows
78.22.143.213,2025-06-09,16:34:36 UTC,necessary+analytics+targeting,desktop,nl,Edge,Windows
77.85.33.24,2025-06-10,19:00:44 UTC,necessary,desktop,en,Chrome,OS X
197.232.119.151,2025-06-11,09:51:28 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
197.232.46.71,2025-06-11,10:29:18 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
105.161.170.122,2025-06-11,11:58:55 UTC,necessary,mobile,en,Chrome,Android
196.97.0.18,2025-06-12,10:58:24 UTC,necessary,mobile,en,Instagram,iOS
197.237.207.180,2025-06-12,11:12:26 UTC,necessary,mobile,en,Instagram,iOS
106.51.173.29,2025-06-12,16:40:59 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
41.220.233.114,2025-06-13,11:13:29 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
102.216.66.66,2025-06-13,15:44:10 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
105.160.46.117,2025-06-13,18:05:06 UTC,necessary+analytics+targeting,desktop,en,Edge,OS X
146.70.102.204,2025-06-13,21:35:24 UTC,necessary,mobile,en,,iOS
41.80.118.26,2025-06-13,22:46:25 UTC,necessary,mobile,en,Instagram,iOS
101.2.176.112,2025-06-14,15:52:00 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
197.248.186.234,2025-06-14,17:36:56 UTC,necessary,mobile,en,Safari,iOS
41.212.47.240,2025-06-14,19:12:04 UTC,necessary,desktop,en,Chrome,Windows
41.212.47.240,2025-06-14,19:12:31 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
90.53.136.162,2025-06-14,20:10:27 UTC,necessary+analytics+targeting,desktop,fr,Chrome,Windows
102.213.48.58,2025-06-15,13:29:17 UTC,necessary+analytics+targeting,mobile,en,Instagram,iOS
41.212.47.240,2025-06-15,14:40:02 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-06-16,08:52:02 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
196.207.133.244,2025-06-17,16:21:20 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
41.212.47.240,2025-06-17,19:45:34 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.215.96.138,2025-06-18,13:37:26 UTC,necessary,desktop,en,Chrome,OS X
197.248.186.234,2025-06-19,16:15:21 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.232.46.71,2025-06-19,16:15:53 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
217.199.146.204,2025-06-20,07:00:21 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
3.96.37.114,2025-06-20,18:34:43 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-06-20,22:51:07 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.212.47.240,2025-06-21,08:15:45 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
102.140.244.222,2025-06-22,15:45:19 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.248.186.234,2025-06-22,16:03:47 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
41.215.96.89,2025-06-22,21:32:10 UTC,necessary+analytics+targeting,mobile,en,Google Search,iOS
86.107.55.103,2025-06-23,01:22:51 UTC,necessary+analytics+targeting,mobile,en,Google Search,iOS
41.90.70.95,2025-06-23,08:24:49 UTC,necessary,desktop,en,Chrome,Windows
103.95.172.245,2025-06-23,12:06:11 UTC,necessary,desktop,en,Chrome,Windows
41.90.5.142,2025-06-23,14:42:40 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.90.217.171,2025-06-23,14:46:16 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
49.205.46.205,2025-06-24,09:44:09 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
41.90.187.105,2025-06-24,12:54:35 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
104.28.39.145,2025-06-25,06:39:14 UTC,necessary,mobile,en,Safari,iOS
182.79.113.50,2025-06-26,05:28:46 UTC,necessary+analytics+targeting,desktop,en,Chrome,Chrome OS
187.168.58.34,2025-06-26,07:31:42 UTC,necessary+analytics+targeting,mobile,es,Opera Mobile,Android
83.166.206.118,2025-06-26,08:03:36 UTC,necessary,desktop,en,Firefox,Windows
202.58.134.60,2025-06-26,08:30:20 UTC,necessary+analytics+targeting,desktop,en,Chrome,Chrome OS
196.96.10.88,2025-06-26,09:45:52 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
182.79.113.50,2025-06-26,09:57:13 UTC,necessary+analytics+targeting,desktop,en,Chrome,Chrome OS
197.248.219.113,2025-06-26,13:12:58 UTC,necessary+analytics+targeting,desktop,en,Chrome,OS X
83.110.79.37,2025-06-27,13:09:28 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
154.159.237.248,2025-06-27,14:51:21 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.232.46.71,2025-06-27,18:35:19 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.161.195.50,2025-06-28,15:56:37 UTC,necessary,mobile,en,Safari,iOS
196.96.170.204,2025-06-28,20:19:02 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.232.46.71,2025-06-29,09:28:54 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
197.232.46.71,2025-06-29,10:23:52 UTC,necessary+analytics+targeting,mobile,en,Chrome,Android
197.248.186.234,2025-06-29,11:53:38 UTC,necessary,mobile,en,Samsung Internet,Android
216.16.68.38,2025-06-29,23:54:35 UTC,necessary+analytics+targeting,desktop,en,Chrome,Windows
118.235.40.112,2025-06-30,02:06:34 UTC,necessary,desktop,en,Edge,Windows
197.232.46.71,2025-06-30,12:33:13 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
172.56.178.206,2025-06-30,15:47:02 UTC,necessary,mobile,en,Chrome,Android
154.159.237.166,2025-06-30,18:51:32 UTC,necessary+analytics+targeting,mobile,en,Safari,iOS
105.160.32.227,2025-07-01,19:02:02 UTC,necessary+analytics+targeting,mobile,en,Samsung Internet,Android
41.222.8.225,2025-07-02,12:53:30 UTC,necessary,desktop,en,Chrome,Windows
106.51.13.38,2025-07-03,04:42:48 UTC,necessary+analytics+targeting,desktop,en,Chrome,Chrome OS
77.245.9.210,2025-07-03,08:28:58 UTC,necessary+analytics+targeting,desktop,en,Edge,Windows
102.0.7.68,2025-07-03,08:48:06 UTC,necessary,mobile,en,Google Search,iOS
102.140.195.68,2025-07-03,16:05:29 UTC,necessary,desktop,en,Chrome,Windows
197.237.39.141,2025-07-05,06:11:20 UTC,necessary,mobile,en,Instagram,iOS
103.91.143.193,2025-07-05,06:16:56 UTC,necessary,desktop,en,Chrome,Windows
197.232.46.71,2025-07-05,13:08:40 UTC,necessary,mobile,en,Chrome,Android
